Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,3.612917,3.714500,3.602375,3.704917,3.307143,49940748
2020-01-03,3.676167,3.689584,3.615792,3.647417,3.255817,39751027
2020-01-06,3.612917,3.636396,3.552542,3.617230,3.228870,26771979
2020-01-07,3.638313,3.650771,3.584646,3.599980,3.213473,30226212
2020-01-08,3.576500,3.607167,3.560209,3.602375,3.215611,31351924
2020-01-09,3.632084,3.655084,3.605250,3.611480,3.223738,85474432
2020-01-10,3.617709,3.622500,3.562605,3.562605,3.180110,28374199
2020-01-13,3.572667,3.579855,3.505584,3.538167,3.158296,32250430
2020-01-14,3.543438,3.543438,3.456709,3.468209,3.095849,108755227
2020-01-15,3.465813,3.472042,3.415980,3.433230,3.064626,66151128
2020-01-16,3.440417,3.495042,3.407355,3.482584,3.108681,94275853
2020-01-17,3.518042,3.550146,3.504625,3.524271,3.145892,70102934
2020-01-20,3.509896,3.515167,3.480667,3.482584,3.108681,34145958
2020-01-21,3.459584,3.486417,3.435146,3.467250,3.094993,51843253
2020-01-22,3.469167,3.484980,3.413105,3.427959,3.059921,32877695
2020-01-23,3.451438,3.497917,3.408792,3.423167,3.055643,47109279
2020-01-24,3.461021,3.490730,3.386271,3.392500,3.028268,55008359
2020-01-27,3.357521,3.387709,3.321584,3.331167,2.973520,46656789
2020-01-28,3.349375,3.413584,3.299542,3.403042,3.037679,43785332
2020-01-29,3.532417,3.579375,3.488334,3.553021,3.171555,84842100
2020-01-30,3.507500,3.550625,3.484021,3.513730,3.136483,47996958
2020-01-31,3.538646,3.551584,3.404959,3.405917,3.040245,67744084
2020-02-03,3.427959,3.448084,3.372375,3.414063,3.047516,39064261
2020-02-04,3.447125,3.543917,3.436105,3.537209,3.157441,53293510
2020-02-05,3.507500,3.635917,3.507500,3.635917,3.245551,58155033
2020-02-06,3.675688,3.706355,3.622021,3.670417,3.276347,89130203
2020-02-07,3.653167,3.698209,3.634959,3.698209,3.301156,62714814
2020-02-10,3.677605,3.710188,3.652209,3.676646,3.281908,37762591
2020-02-11,3.692459,3.708750,3.653646,3.708750,3.310565,46883331
2020-02-12,3.709709,3.790209,3.704438,3.790209,3.383278,61892111
2020-02-13,3.743730,3.777750,3.714980,3.774875,3.369591,60350428
2020-02-14,3.781584,3.784938,3.756667,3.760021,3.356331,63145758
2020-02-17,3.774396,3.798834,3.768167,3.788292,3.381567,24360727
2020-02-18,3.781105,3.790688,3.731750,3.733667,3.332807,46830010
2020-02-19,3.758584,3.788771,3.734625,3.753792,3.350771,34884819
2020-02-20,3.747084,3.766730,3.688625,3.688625,3.292600,45653319
2020-02-21,3.653167,3.677125,3.590396,3.624417,3.235286,64829488
2020-02-24,3.497917,3.533855,3.437063,3.469646,3.097132,66775982
2020-02-25,3.485938,3.485938,3.355605,3.362313,3.001323,74477813
2020-02-26,3.354167,3.435146,3.296667,3.397771,3.032974,100444931
2020-02-27,3.345542,3.362792,3.220000,3.277021,2.925188,107969260
2020-02-28,3.194125,3.230542,3.120334,3.188375,2.846059,135664177
2020-03-02,3.267917,3.272229,3.031688,3.119375,2.784467,107224420
2020-03-03,3.162979,3.238688,3.080563,3.100688,2.767787,149415399
2020-03-04,3.124646,3.175438,3.057563,3.158188,2.819113,81865630
2020-03-05,3.185979,3.186459,2.967959,2.997188,2.675399,118313387
2020-03-06,2.925792,2.957896,2.858229,2.917646,2.604397,129330400
2020-03-09,2.779167,2.780125,2.524729,2.568333,2.292587,207650326
2020-03-10,2.632542,2.773417,2.511792,2.541500,2.268635,140243644
2020-03-11,2.588938,2.730292,2.564979,2.626313,2.344342,129763013
2020-03-12,2.509875,2.515625,2.174458,2.183563,1.949128,234165546
2020-03-13,2.272208,2.501729,2.099708,2.163438,1.931163,161057338
2020-03-16,2.098750,2.107375,1.848050,1.933917,1.726284,206091071
2020-03-17,2.127021,2.127500,1.876608,2.084375,1.860589,155017680
2020-03-18,2.042688,2.089167,1.916667,1.955000,1.745104,132374591
2020-03-19,2.026396,2.041250,1.917625,1.957875,1.747670,108669656
2020-03-20,2.031667,2.070000,1.925292,2.021125,1.804130,149074243
2020-03-23,1.928167,2.117917,1.926729,2.026875,1.809262,92313405
2020-03-24,2.117917,2.270292,2.091083,2.270292,2.026545,94129031
2020-03-25,2.372354,2.415000,2.225729,2.369958,2.115511,106542398
2020-03-26,2.275563,2.394875,2.257833,2.356063,2.103107,79421726
2020-03-27,2.300000,2.317250,2.173500,2.216146,1.978212,71084839
2020-03-30,2.156250,2.175417,2.060417,2.122229,1.894379,104162725
2020-03-31,2.146667,2.186438,2.104979,2.125583,1.897372,87689799
2020-04-01,2.047000,2.074313,2.014417,2.057063,1.836209,77832242
2020-04-02,2.089167,2.128938,2.012500,2.061854,1.840486,71893904
2020-04-03,2.022083,2.041250,1.984229,2.009625,1.793864,74860512
2020-04-06,2.113604,2.145708,2.060417,2.140917,1.911060,79884864
