price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
4340000,4075,3,1,1,yes,yes,yes,no,no,2,no,semi-furnished
4340000,3500,4,1,2,yes,no,no,no,no,2,no,furnished
4340000,6450,4,1,2,yes,no,no,no,no,0,no,semi-furnished
4319000,4032,2,1,1,yes,no,yes,no,no,0,no,furnished
4305000,4400,2,1,1,yes,no,no,no,no,1,no,semi-furnished
4305000,10360,2,1,1,yes,no,no,no,no,1,yes,semi-furnished
4277000,3400,3,1,2,yes,no,yes,no,no,2,yes,semi-furnished
4270000,6360,2,1,1,yes,no,no,no,no,0,no,furnished
4270000,6360,2,1,2,yes,no,no,no,no,0,no,unfurnished
4270000,4500,2,1,1,yes,no,no,no,yes,2,no,furnished
4270000,2175,3,1,2,no,yes,yes,no,yes,0,no,unfurnished
4270000,4360,4,1,2,yes,no,no,no,no,0,no,furnished
4270000,7770,2,1,1,yes,no,no,no,no,1,no,furnished
4235000,6650,3,1,2,yes,yes,no,no,no,0,no,semi-furnished
4235000,2787,3,1,1,yes,no,yes,no,no,0,yes,furnished
4200000,5500,3,1,2,yes,no,no,no,yes,0,no,unfurnished
4200000,5040,3,1,2,yes,no,yes,no,yes,0,no,unfurnished
4200000,5850,2,1,1,yes,yes,yes,no,no,2,no,semi-furnished
4200000,2610,4,3,2,no,no,no,no,no,0,no,semi-furnished
4200000,2953,3,1,2,yes,no,yes,no,yes,0,no,unfurnished
4200000,2747,4,2,2,no,no,no,no,no,0,no,semi-furnished
4200000,4410,2,1,1,no,no,no,no,no,1,no,unfurnished
4200000,4000,4,2,2,no,no,no,no,no,0,no,semi-furnished
4200000,2325,3,1,2,no,no,no,no,no,0,no,semi-furnished
4200000,4600,3,2,2,yes,no,no,no,yes,1,no,semi-furnished
4200000,3640,3,2,2,yes,no,yes,no,no,0,no,unfurnished
4200000,5800,3,1,1,yes,no,no,yes,no,2,no,semi-furnished
4200000,7000,3,1,1,yes,no,no,no,no,3,no,furnished
4200000,4079,3,1,3,yes,no,no,no,no,0,no,semi-furnished
4200000,3520,3,1,2,yes,no,no,no,no,0,yes,semi-furnished
4200000,2145,3,1,3,yes,no,no,no,no,1,yes,unfurnished
4200000,4500,3,1,1,yes,no,yes,no,no,0,no,furnished
4193000,8250,3,1,1,yes,no,yes,no,no,3,no,semi-furnished
4193000,3450,3,1,2,yes,no,no,no,no,1,no,semi-furnished
4165000,4840,3,1,2,yes,no,no,no,no,1,no,semi-furnished
4165000,4080,3,1,2,yes,no,no,no,no,2,no,semi-furnished
4165000,4046,3,1,2,yes,no,yes,no,no,1,no,semi-furnished
4130000,4632,4,1,2,yes,no,no,no,yes,0,no,semi-furnished
4130000,5985,3,1,1,yes,no,yes,no,no,0,no,semi-furnished
